id	minute	city	visit_times
275	537	天津市	57
276	262	新疆维吾尔自治区	5
277	316	江苏省	295
278	276	福建省	115
279	388	北京市	1292
280	279	西藏自治区	1
281	388	四川省	407
282	283	河北省	61
283	752	辽宁省	171
284	290	四川省	262
285	760	内蒙古自治区	52
286	660	浙江省	382
287	1298	甘肃省	2
288	666	湖北省	255
289	1301	湖北省	22
290	763	陕西省	214
291	1311	河北省	11
292	768	新疆维吾尔自治区	61
293	65	河南省	174
294	769	吉林省	67
295	65	山西省	34
296	769	贵州省	29
297	69	甘肃省	3
298	775	湖北省	243
299	415	四川省	507
300	1251	吉林省	4
301	417	湖南省	202
302	1261	贵州省	1
303	421	河北省	242
304	1262	新疆维吾尔自治区	16
305	422	福建省	495
306	1266	四川省	17
307	498	陕西省	235
308	1323	山东省	15
309	500	北京市	1437
310	1336	广西壮族自治区	3
311	504	黑龙江省	30
312	16	广西壮族自治区	6
313	508	湖南省	219
314	201	四川省	593
315	546	山西省	97
316	201	江西省	106
317	548	安徽省	165
318	208	湖北省	314
319	627	上海市	322
320	295	辽宁省	77
321	629	全球	1
322	299	新疆维吾尔自治区	19
323	738	贵州省	7
324	468	全球 	163
325	739	云南省	43
326	868	甘肃省	25
327	469	贵州省	74
328	526	上海市	767
329	780	广东省	1182
330	527	新疆维吾尔自治区	41
331	781	广东省	1190
332	551	湖南省	126
333	781	天津市	86
334	552	全球 	271
335	782	江苏省	268
336	672	黑龙江省	28
337	912	浙江省	281
338	680	新疆维吾尔自治区	8
339	921	四川省	153
340	681	广东省	1257
341	921	全球	3
342	1010	安徽省	19
343	926	吉林省	8
344	1028	青海省	1
345	551	甘肃省	12
346	1110	上海市	64
347	560	云南省	84
348	1124	江西省	9
349	1214	贵州省	2
350	1129	辽宁省	10
351	1225	云南省	2
352	1137	河北省	11
353	1227	贵州省	1
354	166	河南省	303
355	1230	河南省	9
356	167	湖北省	344
357	1242	贵州省	2
358	49	广西壮族自治区	20
359	82	海南省	25
360	90	江苏省	358
361	168	海南省	9
362	90	湖北省	186
363	240	陕西省	227
364	93	河南省	226
365	311	辽宁省	70
366	271	重庆市	49
367	325	上海市	645
368	274	陕西省	139
369	394	湖北省	336
370	397	辽宁省	195
371	277	四川省	243
372	479	江西省	115
373	524	山东省	400
374	748	陕西省	171
375	590	黑龙江省	49
376	781	江西省	167
377	597	西藏自治区	1
378	786	山东省	292
379	598	陕西省	145
380	599	上海市	546
381	914	河北省	66
382	603	甘肃省	11
383	927	湖南省	134
384	659	湖北省	236
385	218	陕西省	185
386	664	湖北省	239
387	219	辽宁省	113
388	664	山西省	105
389	222	山西省	69
390	887	吉林省	13
391	222	福建省	122
392	893	河北省	87
393	328	新疆维吾尔自治区	31
394	897	河北省	97
395	336	福建省	181
396	908	内蒙古自治区	13
397	428	江苏省	446
398	909	海南省	5
399	439	黑龙江省	80
400	940	辽宁省	39
401	440	江西省	170
402	442	宁夏回族自治区	6
403	448	山东省	346
404	450	云南省	174
405	704	海南省	20
406	706	河南省	238
407	796	天津市	106
408	803	吉林省	49
409	826	河北省	126
410	849	辽宁省	151
411	851	山东省	204
412	852	山西省	58
413	852	天津市	39
414	853	湖北省	296
415	859	浙江省	250
416	859	宁夏回族自治区	9
417	895	湖南省	91
418	896	湖北省	232
419	898	四川省	188
420	900	湖北省	167
421	904	江苏省	211
422	1146	广东省	205
423	1157	陕西省	11
424	1159	甘肃省	4
425	1160	山西省	19
426	121	贵州省	30
427	122	上海市	723
428	151	湖北省	409
429	151	安徽省	164
430	152	上海市	530
431	155	贵州省	50
432	163	辽宁省	177
433	184	新疆维吾尔自治区	7
434	360	贵州省	53
435	369	安徽省	160
436	370	河南省	236
437	573	广西壮族自治区	72
438	639	山西省	70
439	643	江苏省	340
440	643	全球	8
441	646	北京市	586
442	650	天津市	83
443	650	山西省	46
444	691	湖南省	178
445	696	北京市	858
446	697	浙江省	460
447	817	北京市	913
448	1285	青海省	1
449	1289	浙江省	75
450	1291	四川省	18
451	1303	青海省	1
452	1307	浙江省	39
453	1309	云南省	1
454	72	北京市	554
455	72	天津市	51
456	1245	河北省	16
457	1251	福建省	17
458	1267	浙江省	44
459	1269	山东省	33
460	971	湖北省	58
461	1269	江苏省	24
462	1315	海南省	1
463	1319	江苏省	22
464	1320	山东省	15
465	972	全球	1
466	1322	江苏省	22
467	974	福建省	95
468	1326	全球 	39
469	1180	四川省	20
470	1329	山西省	8
471	1184	广东省	167
472	1330	新疆维吾尔自治区	1
473	1189	江西省	7
474	1340	浙江省	65
475	1193	全球	1
476	1341	陕西省	1
477	1196	贵州省	1
478	14	海南省	5
479	1199	重庆市	10
480	30	甘肃省	6
481	1201	重庆市	10
482	30	内蒙古自治区	19
483	1208	甘肃省	2
484	31	云南省	5
485	1357	天津市	3
486	39	江西省	102
487	1369	河南省	11
488	207	青海省	1
489	1372	江苏省	16
490	210	辽宁省	115
491	126	宁夏回族自治区	36
492	213	山西省	34
493	131	河南省	225
494	304	宁夏回族自治区	10
495	374	西藏自治区	1
496	461	全球 	191
497	383	山东省	230
498	403	山西省	74
499	462	青海省	1
500	465	浙江省	641
501	406	青海省	3
502	469	陕西省	307
503	411	广西壮族自治区	56
504	530	山西省	97
505	486	四川省	426
506	678	天津市	179
507	487	辽宁省	184
508	681	湖南省	102
509	493	广西壮族自治区	106
510	685	重庆市	83
511	718	北京市	792
512	961	全球 	62
513	730	河南省	262
514	963	甘肃省	4
515	1249	安徽省	14
516	980	吉林省	9
517	1186	青海省	1
518	1196	吉林省	4
519	1200	北京市	82
520	1201	上海市	56
521	1251	广东省	108
522	1364	河南省	12
523	1253	全球	1
524	1373	全球 	47
525	1259	江西省	8
526	1373	新疆维吾尔自治区	1
527	1270	江西省	7
528	1377	内蒙古自治区	4
529	1275	河南省	13
530	1382	福建省	19
531	1324	山西省	3
532	130	陕西省	217
533	1324	广东省	96
534	133	贵州省	31
535	1339	内蒙古自治区	6
536	372	青海省	1
537	1344	河北省	11
538	375	江苏省	373
539	1345	黑龙江省	3
540	375	福建省	182
541	26	河北省	26
542	383	河南省	181
543	30	广西壮族自治区	10
544	487	广西壮族自治区	155
545	37	山东省	105
546	491	天津市	158
547	203	天津市	70
548	492	贵州省	25
549	205	甘肃省	10
550	717	山东省	214
551	210	山东省	226
552	726	全球 	63
553	297	新疆维吾尔自治区	23
554	730	内蒙古自治区	44
555	299	陕西省	242
556	836	陕西省	141
557	304	广西壮族自治区	61
558	837	四川省	310
559	307	海南省	16
560	845	四川省	324
561	308	浙江省	299
562	990	重庆市	26
563	461	河南省	250
564	992	重庆市	53
565	464	全球	7
566	1001	湖南省	14
567	530	贵州省	27
568	1005	浙江省	98
569	534	福建省	240
570	1082	山东省	29
571	553	山东省	276
572	1084	山西省	4
573	558	贵州省	21
574	561	广西壮族自治区	81
575	1086	内蒙古自治区	6
576	677	河北省	87
577	1092	吉林省	6
578	1099	湖南省	16
579	832	全球	4
580	1104	湖北省	37
581	833	山东省	185
582	1104	湖南省	11
583	844	新疆维吾尔自治区	60
584	1385	新疆维吾尔自治区	1
585	1388	山西省	11
586	846	江苏省	348
587	1389	海南省	2
588	1217	甘肃省	1
589	1394	河北省	10
590	1228	福建省	18
591	1396	青海省	1
592	1235	湖南省	17
593	1235	湖北省	27
594	1401	河南省	15
595	96	浙江省	401
596	1235	河南省	9
597	1235	陕西省	11
598	104	重庆市	333
599	192	新疆维吾尔自治区	12
600	42	广东省	532
601	194	河北省	193
602	43	山西省	21
603	194	黑龙江省	102
604	48	甘肃省	4
605	198	湖北省	265
606	52	江苏省	237
607	352	安徽省	126
608	61	四川省	118
609	353	吉林省	45
610	83	天津市	106
611	355	新疆维吾尔自治区	24
612	88	贵州省	15
613	93	山东省	297
614	355	湖南省	84
615	578	陕西省	235
616	261	北京市	584
617	583	四川省	275
618	288	甘肃省	41
619	586	湖南省	177
620	288	全球 	77
621	605	福建省	188
622	518	河北省	157
623	416	山东省	276
624	591	宁夏回族自治区	6
625	592	北京市	887
626	419	山西省	95
627	593	江西省	100
628	420	西藏自治区	1
629	596	山西省	130
630	497	海南省	74
631	501	宁夏回族自治区	11
632	599	海南省	40
633	501	青海省	2
634	656	广东省	1049
635	502	江西省	259
636	659	河北省	164
637	503	青海省	2
638	770	上海市	359
639	505	上海市	774
640	880	全球	2
641	512	宁夏回族自治区	28
642	1281	重庆市	8
643	546	全球	8
644	1296	重庆市	10
645	548	内蒙古自治区	45
646	1298	山西省	2
647	629	湖南省	137
648	1308	四川省	24
649	741	四川省	286
650	64	陕西省	67
651	744	福建省	169
652	66	江苏省	294
653	871	浙江省	249
654	68	山西省	48
655	874	贵州省	7
656	77	山东省	191
657	876	甘肃省	23
658	494	贵州省	83
659	1222	福建省	22
660	506	宁夏回族自治区	10
661	1240	辽宁省	11
662	514	北京市	1384
663	43	天津市	46
664	540	重庆市	149
665	44	上海市	170
666	547	重庆市	269
667	47	黑龙江省	6
668	621	全球	2
669	48	山东省	186
670	624	海南省	8
671	626	海南省	7
672	51	浙江省	292
673	628	湖南省	63
674	53	全球 	104
675	633	湖北省	157
676	59	湖北省	97
677	737	安徽省	113
678	267	北京市	714
679	742	广西壮族自治区	54
680	279	上海市	345
681	745	上海市	610
682	282	天津市	22
683	862	天津市	82
684	289	浙江省	370
685	864	江西省	67
686	293	山东省	172
687	876	河北省	118
688	523	湖南省	103
689	928	全球	3
690	592	江苏省	291
691	931	江苏省	94
692	596	吉林省	46
693	937	黑龙江省	43
694	596	江苏省	331
695	941	广东省	674
696	600	黑龙江省	25
697	945	广西壮族自治区	36
698	657	四川省	225
699	945	湖南省	103
700	659	黑龙江省	63
701	1148	天津市	8
702	664	天津市	87
703	1149	河北省	10
704	667	浙江省	272
705	1150	甘肃省	4
706	762	北京市	941
707	1152	上海市	72
708	762	全球 	85
709	1161	陕西省	12
710	765	河北省	122
711	1173	浙江省	46
712	766	湖北省	316
713	114	贵州省	31
714	1052	天津市	49
715	155	四川省	316
716	1052	山西省	4
717	1060	山东省	19
718	162	内蒙古自治区	103
719	1009	内蒙古自治区	7
720	163	山东省	202
721	1012	山东省	15
722	359	甘肃省	7
723	1016	海南省	3
724	563	江西省	195
725	1016	吉林省	10
726	568	广西壮族自治区	57
727	1022	重庆市	12
728	573	山东省	269
729	1027	湖南省	18
730	574	宁夏回族自治区	4
731	1030	湖南省	26
732	1031	上海市	81
733	640	黑龙江省	60
734	1108	江苏省	23
735	643	河北省	92
736	1110	广东省	222
737	647	上海市	329
738	1113	江苏省	22
739	699	湖南省	90
740	1115	山东省	19
741	808	安徽省	146
742	1116	海南省	1
743	813	山西省	109
744	1119	上海市	64
745	816	黑龙江省	35
746	1121	陕西省	22
747	818	甘肃省	11
748	1124	上海市	75
749	1051	黑龙江省	19
750	1128	河南省	14
751	1057	辽宁省	50
752	1129	吉林省	5
753	1431	天津市	2
754	1132	四川省	19
755	1433	吉林省	5
756	880	湖南省	121
757	11	山西省	42
758	887	黑龙江省	33
759	142	宁夏回族自治区	35
760	889	湖南省	97
761	147	江西省	172
762	896	湖南省	105
763	220	全球	3
764	1425	云南省	1
765	333	海南省	25
766	215	上海市	352
767	225	河北省	127
768	424	河南省	246
769	227	福建省	261
770	424	宁夏回族自治区	8
771	327	吉林省	104
772	428	上海市	531
773	335	陕西省	146
774	436	青海省	1
775	341	新疆维吾尔自治区	10
776	450	江西省	106
777	424	浙江省	673
778	458	吉林省	69
779	433	宁夏回族自治区	12
780	703	河北省	150
781	437	福建省	383
782	705	重庆市	72
783	444	河北省	177
784	706	广西壮族自治区	73
785	704	北京市	646
786	709	浙江省	322
787	704	全球	3
788	713	北京市	778
789	713	内蒙古自治区	36
790	790	安徽省	63
791	714	全球 	46
792	792	湖北省	387
793	716	山西省	86
794	794	青海省	2
795	790	青海省	2
796	820	广东省	1205
797	795	宁夏回族自治区	14
798	822	甘肃省	19
799	828	广西壮族自治区	46
800	829	江西省	157
801	165	湖北省	376
802	831	重庆市	75
803	171	山西省	72
804	855	宁夏回族自治区	7
805	174	贵州省	45
806	857	海南省	34
807	229	广西壮族自治区	56
808	993	山东省	24
809	238	福建省	160
810	996	内蒙古自治区	9
811	241	辽宁省	93
812	1005	辽宁省	15
813	311	湖南省	197
814	1008	重庆市	15
815	315	北京市	748
816	1073	四川省	23
817	321	江苏省	325
818	1076	山东省	20
819	1078	吉林省	5
820	390	宁夏回族自治区	3
821	1087	甘肃省	3
822	479	贵州省	17
823	1092	福建省	17
824	749	山东省	167
825	1094	安徽省	8
826	751	宁夏回族自治区	12
827	752	甘肃省	18
828	1099	海南省	1
829	754	辽宁省	136
830	1101	湖北省	23
831	781	新疆维吾尔自治区	30
832	1399	吉林省	9
833	785	云南省	28
834	1408	四川省	16
835	787	湖北省	273
836	1412	天津市	2
837	913	吉林省	19
838	96	辽宁省	144
839	918	湖北省	142
840	96	海南省	29
841	921	上海市	258
842	193	广西壮族自治区	214
843	921	新疆维吾尔自治区	11
844	346	广西壮族自治区	43
845	351	辽宁省	191
846	356	湖南省	136
847	615	江苏省	222
848	1012	天津市	7
849	1023	江苏省	77
850	1025	新疆维吾尔自治区	3
851	1116	江苏省	23
852	1121	福建省	62
853	1130	福建省	23
854	1134	宁夏回族自治区	3
855	170	内蒙古自治区	32
856	237	甘肃省	47
857	312	辽宁省	92
858	313	全球	3
859	318	全球	3
860	324	江西省	84
861	386	宁夏回族自治区	3
862	393	四川省	342
863	394	江西省	118
864	477	河南省	219
865	760	广东省	1131
866	786	黑龙江省	80
867	959	浙江省	166
868	1212	新疆维吾尔自治区	2
869	1219	浙江省	45
870	1219	青海省	1
871	1011	河南省	26
872	1219	新疆维吾尔自治区	2
873	1018	湖南省	32
874	1230	黑龙江省	3
875	1025	浙江省	84
876	1031	江西省	10
877	1235	内蒙古自治区	7
878	1031	新疆维吾尔自治区	21
879	1240	山西省	1
880	1034	山东省	16
881	1243	贵州省	2
882	1037	浙江省	75
883	41	湖南省	47
884	1037	山西省	25
885	46	河南省	194
886	1106	河北省	6
887	51	黑龙江省	38
888	1109	上海市	63
889	52	广东省	566
890	1122	云南省	3
891	55	北京市	262
892	1123	天津市	5
893	57	贵州省	7
894	1128	全球 	55
895	90	上海市	204
896	1133	云南省	3
897	93	湖南省	178
898	95	上海市	245
899	1135	江苏省	24
900	268	吉林省	35
901	1135	陕西省	8
902	272	吉林省	44
903	171	湖北省	413
904	273	吉林省	14
905	235	福建省	107
906	277	宁夏回族自治区	3
907	237	山西省	58
908	284	北京市	543
909	312	陕西省	115
910	289	江苏省	209
911	322	四川省	225
912	522	上海市	538
913	478	辽宁省	147
914	589	青海省	21
915	748	湖北省	280
916	594	黑龙江省	35
917	755	天津市	110
918	595	海南省	34
919	923	河南省	128
920	597	浙江省	440
921	1255	河北省	9
922	654	上海市	279
923	1257	河南省	8
924	656	新疆维吾尔自治区	34
925	1260	上海市	59
926	764	河北省	87
927	1260	宁夏回族自治区	2
928	767	湖北省	310
929	1273	黑龙江省	2
930	768	黑龙江省	86
931	1274	湖北省	17
932	772	陕西省	207
933	1277	上海市	57
934	1315	四川省	22
935	879	江苏省	164
936	1318	山东省	16
937	880	辽宁省	56
938	1320	辽宁省	11
939	887	江苏省	279
940	27	广西壮族自治区	7
941	889	福建省	171
942	28	海南省	5
943	890	福建省	213
944	29	福建省	57
945	892	宁夏回族自治区	3
946	893	全球 	110
947	38	河南省	88
948	1141	江西省	5
949	202	辽宁省	101
950	1156	全球 	54
951	213	黑龙江省	59
952	1164	上海市	69
953	302	宁夏回族自治区	7
954	1171	浙江省	45
955	308	上海市	306
956	1173	福建省	23
957	309	甘肃省	5
958	462	新疆维吾尔自治区	17
959	124	吉林省	45
960	530	福建省	283
961	153	上海市	461
962	551	湖北省	388
963	155	福建省	224
964	678	福建省	121
965	155	重庆市	183
966	679	福建省	143
967	155	全球	3
968	1215	山西省	1
969	157	全球	2
970	1230	广西壮族自治区	2
971	176	天津市	136
972	1233	宁夏回族自治区	3
973	361	山西省	71
974	1237	宁夏回族自治区	3
975	565	陕西省	203
976	1238	河南省	9
977	574	全球	11
978	49	江西省	100
979	638	甘肃省	10
980	53	广西壮族自治区	21
981	641	全球 	121
982	80	吉林省	38
983	687	甘肃省	9
984	81	湖北省	137
985	688	江西省	210
986	91	吉林省	16
987	810	山东省	192
988	263	广西壮族自治区	39
989	812	山东省	357
990	270	甘肃省	37
991	813	新疆维吾尔自治区	32
992	281	河南省	158
993	986	上海市	247
994	289	宁夏回族自治区	22
995	989	河北省	7
996	293	西藏自治区	1
997	991	甘肃省	3
998	986	黑龙江省	9
999	994	辽宁省	18
1000	999	内蒙古自治区	18
1001	995	重庆市	41
1002	1000	河南省	39
1003	1003	辽宁省	14
1004	1072	山东省	35
1005	1070	内蒙古自治区	6
1006	1097	天津市	5
1007	1091	福建省	20
1008	1389	浙江省	39
1009	1094	江苏省	29
1010	1405	内蒙古自治区	4
1011	1102	河南省	18
1012	1417	黑龙江省	4
1013	1398	上海市	85
1014	105	重庆市	145
1015	1399	浙江省	51
1016	106	江苏省	313
1017	1404	河南省	23
1018	108	甘肃省	4
1019	1411	陕西省	20
1020	194	吉林省	35
