id	label	city	visit_times
225	功能测试	河北省	172
226	Java	中国	9
227	Unity3D	四川省	1475
228	CSS3	山西省	597
229	设计工具	全球 	1287
230	C	陕西省	11695
231	Html5	山东省	2169
232	MySQL	陕西省	2726
233	Html5	贵州省	73
234	接口测试	山东省	649
235	Java	山西省	28203
236	C	广东省	118521
237	iOS	全球 	728
238	MySQL	海南省	1159
239	C	辽宁省	12346
240	性能测试	广东省	1195
241	HTML/CSS	山东省	100159
242	设计工具	广东省	36639
243	MySQL	黑龙江省	1198
244	大数据	陕西省	372
245	Unity3D	安徽省	151
246	jQuery	安徽省	1951
247	设计工具	浙江省	9298
248	Oracle	山东省	1741
249	Bootstrap	重庆市	2027
250	动效动画	江苏省	99
251	C	云南省	2600
252	大数据	全球	53
253	动效动画	上海市	623
254	iOS	重庆市	598
255	大数据	湖南省	131
256	Android	山西省	761
257	JavaScript	云南省	10504
258	接口测试	福建省	282
259	MongoDB	江苏省	230
260	Html5	全球	202
261	iOS	陕西省	157
262	Java	湖北省	100453
263	设计工具	江苏省	10056
264	PHP	河北省	7685
265	Sass/Less	山西省	629
266	WebApp	河北省	1035
267	SQLServer	山东省	466
268	动效动画	广东省	1789
269	Oracle	广东省	7232
270	性能测试	山东省	29
271	JavaScript	山西省	16128
272	Cocos2d-x	四川省	2046
273	C#	陕西省	756
274	Oracle	海南省	227
275	PHP	陕西省	8848
276	动效动画	重庆市	203
277	Html5	青海省	22
278	PHP	河南省	15795
279	HTML/CSS	黑龙江省	28541
280	接口测试	浙江省	524
281	功能测试	云南省	87
282	iOS	青海省	48
283	C++	江苏省	3326
284	HTML/CSS	新疆维吾尔自治区	10593
285	大数据	全球 	2658
286	云计算	陕西省	141
287	iOS	江西省	6
288	Html5	广西壮族自治区	516
289	Android	新疆维吾尔自治区	129
290	Sass/Less	广东省	3165
291	JavaScript	黑龙江省	16845
292	功能测试	天津市	132
293	前端工具	新疆维吾尔自治区	123
294	动效动画	河北省	262
295	PHP	江西省	5762
296	PHP	安徽省	9066
297	C++	山西省	1172
298	JavaScript	宁夏回族自治区	982
299	JavaScript	广西壮族自治区	11938
300	功能测试	广东省	2118
301	性能测试	重庆市	53
302	MySQL	吉林省	402
303	HTML/CSS	甘肃省	9761
304	功能测试	河南省	242
305	Android	内蒙古自治区	229
306	CSS3	内蒙古自治区	116
307	Cocos2d-x	江苏省	800
308	云计算	内蒙古自治区	12
309	PHP	北京市	59818
310	C#	黑龙江省	271
311	WebApp	江苏省	1615
312	C#	重庆市	2405
313	Bootstrap	浙江省	8713
314	PHP	福建省	19025
315	Sass/Less	北京市	9949
316	HTML/CSS	江苏省	153214
317	C#	河南省	1325
318	PHP	湖南省	6088
319	Python	福建省	16927
320	PHP	辽宁省	3800
321	前端工具	河南省	2030
322	Java	上海市	113418
323	PHP	甘肃省	632
324	jQuery	湖南省	3286
325	Python	黑龙江省	9252
326	WebApp	山东省	1059
327	CSS3	江苏省	1471
328	动效动画	浙江省	456
329	功能测试	湖南省	200
330	Python	河北省	5185
331	C#	海南省	32
332	iOS	辽宁省	191
333	C#	甘肃省	78
334	Bootstrap	江苏省	10252
335	云计算	江苏省	280
336	Bootstrap	广西壮族自治区	1739
337	jQuery	云南省	1175
338	Python	江西省	6430
339	前端工具	山东省	2166
340	C	山西省	12492
341	Bootstrap	贵州省	250
342	SQLServer	云南省	151
343	Bootstrap	安徽省	3640
344	JavaScript	北京市	179048
345	JavaScript	浙江省	106569
346	C#	山东省	1613
347	MySQL	广东省	18376
348	接口测试	上海市	894
349	Linux	河北省	3835
350	CSS3	云南省	239
351	iOS	云南省	475
352	JavaScript	天津市	14343
353	Android	浙江省	7349
354	MongoDB	云南省	114
355	Android	宁夏回族自治区	86
356	JavaScript	甘肃省	4679
357	C++	重庆市	2770
358	HTML/CSS	内蒙古自治区	15848
359	Sass/Less	安徽省	78
360	C	甘肃省	1574
361	WebApp	山西省	25
362	Java	安徽省	52179
363	JavaScript	山东省	42040
364	C#	上海市	3369
365	功能测试	北京市	2492
366	动效动画	吉林省	195
367	接口测试	云南省	22
368	JavaScript	江西省	31442
369	云计算	辽宁省	31
370	HTML/CSS	广西壮族自治区	38755
371	iOS	上海市	1947
372	设计工具	新疆维吾尔自治区	2783
373	jQuery	内蒙古自治区	514
374	JavaScript	陕西省	38640
375	HTML/CSS	山西省	44638
376	Linux	广西壮族自治区	713
377	C	黑龙江省	7924
378	Android	黑龙江省	120
379	大数据	河北省	177
380	Html5	广东省	17942
381	Cocos2d-x	河南省	124
382	Android	全球	308
383	Python	内蒙古自治区	3120
384	Oracle	山西省	2
